               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              5.4445,              9.3316,              5.2508,           0.0027778,                0.25,           0.0028031,          0.00089804,                   0,                   0,                   0,            0.070857,           0.0032381,           0.0032381
                   1,              5.3663,              7.5962,              5.2285,           0.0038889,                0.35,            0.003643,            0.001092,                   0,                   0,                   0,            0.040792,           0.0065064,           0.0065064
                   2,              5.5528,              7.5394,              5.2548,           0.0027778,                0.25,           0.0033726,           0.0012891,                   0,                   0,                   0,            0.010661,           0.0097086,           0.0097086
                   3,              5.1366,              6.7721,              5.2885,           0.0033333,                 0.3,           0.0021805,            0.000352,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              5.0866,              6.3245,              5.1766,             0.25274,                0.05,            0.017743,           0.0025844,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,               4.837,               5.966,              4.9808,           0.0038889,                0.35,           0.0027998,          0.00055383,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              4.4293,              5.4115,              4.9043,           0.0038889,                0.35,           0.0060556,           0.0016088,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              4.0317,              4.8277,              4.7149,             0.10135,                 0.1,            0.021231,           0.0073687,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              4.0794,              4.7914,                4.59,           0.0038889,                0.35,           0.0031306,           0.0011349,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              3.9752,              4.3444,              4.5114,            0.017691,                 0.1,             0.02384,           0.0057726,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              3.7288,              3.8807,              4.3599,             0.10425,                 0.3,             0.06642,            0.012559,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              3.5754,              3.5231,              4.1767,             0.18149,                 0.1,            0.046008,             0.01611,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,               3.538,                3.67,              4.0675,            0.065384,                0.35,            0.054698,            0.016366,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              3.2641,              3.3466,              3.8097,             0.10517,             0.21179,              0.1234,            0.032531,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              3.2724,               2.955,              3.7203,             0.22346,                0.15,            0.072593,            0.029567,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              3.0817,              2.8047,              3.5895,              0.1178,                 0.4,             0.10525,            0.025657,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              2.9313,              2.7036,              3.3588,             0.28748,                 0.4,             0.21184,            0.047379,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              2.9223,              2.6433,              3.2518,             0.28725,             0.58463,             0.29317,            0.067245,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              2.8778,              2.3886,              3.1333,             0.27915,                 0.6,             0.32115,            0.087628,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              2.7762,              2.3234,              2.9179,             0.46785,                0.55,              0.5183,             0.18121,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              2.6814,              2.2173,              2.9645,             0.49436,                 0.6,             0.47127,             0.12972,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,               2.696,              2.2536,              3.0352,             0.41852,                 0.2,             0.35574,             0.11352,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,               2.709,              2.0397,              2.7065,             0.59252,                 0.7,             0.62119,             0.18059,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              2.5678,              2.1261,              2.8056,             0.42973,                 0.5,             0.51829,             0.15449,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
